tidspunkt,temperatur
2025-05-11T11:00:00Z,15.4
2025-05-11T12:00:00Z,16.4
2025-05-11T13:00:00Z,17.2
2025-05-11T14:00:00Z,17.7
2025-05-11T15:00:00Z,18.3
2025-05-11T16:00:00Z,18.6
2025-05-11T17:00:00Z,18.2
2025-05-11T18:00:00Z,17.2
2025-05-11T19:00:00Z,16.0
2025-05-11T20:00:00Z,14.8
2025-05-11T21:00:00Z,13.5
2025-05-11T22:00:00Z,12.6
2025-05-11T23:00:00Z,11.6
2025-05-12T00:00:00Z,10.8
2025-05-12T01:00:00Z,9.9
2025-05-12T02:00:00Z,8.8
2025-05-12T03:00:00Z,8.1
2025-05-12T04:00:00Z,8.7
2025-05-12T05:00:00Z,10.3
2025-05-12T06:00:00Z,11.7
2025-05-12T07:00:00Z,12.7
2025-05-12T08:00:00Z,13.8
2025-05-12T09:00:00Z,14.8
2025-05-12T10:00:00Z,15.6
2025-05-12T11:00:00Z,19.3
2025-05-12T12:00:00Z,20.5
2025-05-12T13:00:00Z,23.6
2025-05-12T14:00:00Z,26.3
2025-05-12T15:00:00Z,24.6
2025-05-12T16:00:00Z,20.0
2025-05-12T17:00:00Z,16.5
2025-05-12T18:00:00Z,14.9
2025-05-12T19:00:00Z,13.6
2025-05-12T20:00:00Z,13.2
2025-05-12T21:00:00Z,12.7
2025-05-12T22:00:00Z,12.5
2025-05-12T23:00:00Z,11.9
2025-05-13T00:00:00Z,11.2
2025-05-13T01:00:00Z,10.4
2025-05-13T02:00:00Z,9.9
2025-05-13T03:00:00Z,9.4
2025-05-13T04:00:00Z,9.0
2025-05-13T05:00:00Z,8.6
2025-05-13T06:00:00Z,8.4
2025-05-13T07:00:00Z,8.7
2025-05-13T08:00:00Z,9.9
2025-05-13T09:00:00Z,11.0
2025-05-13T10:00:00Z,11.3
2025-05-13T11:00:00Z,11.6
2025-05-13T12:00:00Z,11.9
2025-05-13T13:00:00Z,11.8
2025-05-13T14:00:00Z,11.5
2025-05-13T15:00:00Z,11.4
2025-05-13T16:00:00Z,10.6
2025-05-13T17:00:00Z,9.4
2025-05-13T18:00:00Z,8.4
2025-05-14T00:00:00Z,7.2
2025-05-14T06:00:00Z,6.2
2025-05-14T12:00:00Z,8.0
2025-05-14T18:00:00Z,7.7
2025-05-15T00:00:00Z,7.5
2025-05-15T06:00:00Z,8.8
2025-05-15T12:00:00Z,14.1
2025-05-15T18:00:00Z,10.3
2025-05-16T00:00:00Z,9.0
2025-05-16T06:00:00Z,9.2
2025-05-16T12:00:00Z,13.4
2025-05-16T18:00:00Z,11.3
2025-05-17T00:00:00Z,9.2
2025-05-17T06:00:00Z,9.0
2025-05-17T12:00:00Z,12.0
2025-05-17T18:00:00Z,10.2
2025-05-18T00:00:00Z,8.8
2025-05-18T06:00:00Z,8.5
2025-05-18T12:00:00Z,12.1
2025-05-18T18:00:00Z,10.5
2025-05-19T00:00:00Z,9.1
2025-05-19T06:00:00Z,8.7
2025-05-19T12:00:00Z,11.7
2025-05-19T18:00:00Z,10.6
2025-05-20T00:00:00Z,7.8
2025-05-20T06:00:00Z,6.7
2025-05-20T12:00:00Z,5.4
2025-05-20T18:00:00Z,0.2
2025-05-21T00:00:00Z,-1.7
2025-05-21T06:00:00Z, 2.7
